"learning evaluation instances on certain fold","1-fold","2-fold","3-fold","4-fold","5-fold","6-fold","7-fold","8-fold","9-fold","10-fold"
227,51.54185022,49.33920705,51.54185022,51.54185022,51.54185022,51.54185022,50.22026432,50.66079295,51.54185022,51.98237885
228,51.31578947,49.12280702,51.31578947,51.31578947,51.31578947,51.31578947,50,50.43859649,51.31578947,51.75438596
229,51.09170306,48.90829694,51.09170306,51.52838428,51.52838428,51.52838428,49.78165939,50.65502183,51.09170306,51.9650655
230,50.86956522,48.69565217,50.86956522,51.73913043,51.73913043,51.30434783,49.56521739,50.86956522,50.86956522,52.17391304
231,51.08225108,48.91774892,51.08225108,51.94805195,51.94805195,51.51515152,49.78354978,51.08225108,51.08225108,52.38095238
232,51.29310345,49.13793103,51.29310345,51.72413793,51.72413793,51.72413793,50,50.86206897,51.29310345,52.15517241
233,51.07296137,48.92703863,51.07296137,51.50214592,51.50214592,51.50214592,49.78540773,50.64377682,51.07296137,51.93133047
234,50.85470085,49.14529915,50.85470085,51.70940171,51.70940171,51.70940171,49.57264957,50.85470085,50.85470085,52.13675214
235,50.63829787,49.36170213,50.63829787,51.91489362,51.91489362,51.91489362,49.36170213,51.06382979,50.63829787,52.34042553
236,50.42372881,49.57627119,50.42372881,52.11864407,52.11864407,52.11864407,49.15254237,51.27118644,50.84745763,52.54237288
237,50.21097046,49.78902954,50.21097046,51.89873418,52.32067511,51.89873418,48.94514768,51.05485232,50.63291139,52.74261603
